1,jYxAySb,htlXgoydIJsLK,0.14285714285714285
2,DlrqPwjPrmLYai,ZMBmkf,0.14285714285714285
3,HNAg,pLA!prSg,F KGlef,0.19047619047619047
4,HBbfI  gBTNdayu,kWGbb,0.23809523809523808
5,HBbfI  gBTNdayu,kWGbb,0.23809523809523808
6,HxuwaKNbrtkmayu,kWGbb,0.23809523809523808
7,HNAg,KNoamPEayF KGlef,0.2857142857142857
8,HNAgI  gBTNdayzAYGlef,0.3333333333333333
9,HNAgI  gBTNdayzAYGlef,0.3333333333333333
10,HNAgI  gBTNdayzAYGlef,0.3333333333333333
11,HkwEySb,htldazy TFEAd,0.3333333333333333
12,HNAgI  gBTNdayzAYGlef,0.3333333333333333
13,HNAgI bGBtUdayzAYGlef,0.42857142857142855
14,HNAgI bGBtUdayzAYGlef,0.42857142857142855
15,HNAgI bGBtUdayzAYGlef,0.42857142857142855
16,HNAgI EzrtUdayzAYGlef,0.42857142857142855
17,HNVmI bGBtedaytAYilef,0.47619047619047616
18,HNVmI bGBtedaytAYilef,0.47619047619047616
19,HNVmI bGBtedaytAYilef,0.47619047619047616
20,HIVmI bGBtedaytAYilef,0.47619047619047616
21,HNVmI bGBtedaytAYilef,0.47619047619047616
22,HNVmI bGBtedaytAYilef,0.47619047619047616
23,HNAgI biBtUdayzAYGlef,0.47619047619047616
24,HNVmI bGBtedaytAYilef,0.47619047619047616
25,HNArI bGBthdayuoTilef,0.5238095238095238
26,HNArI bGBthdayuoTilef,0.5238095238095238
27,HaArI bGBthdayuo,Hlef,0.5238095238095238
28,HNVgI biBtedaytAYilef,0.5238095238095238
29,HNArI bGBthdayuoTilef,0.5238095238095238
30,HNArI bGBthdayuoTilef,0.5238095238095238
31,HNArI bGBthdayuoTilef,0.5238095238095238
32,HawkRQNbrtGday, fRlbb,0.5238095238095238
33,HNArI bGBthdayu Tilef,0.5714285714285714
34,HNArI bGBthdayu Tilef,0.5714285714285714
35,HNArI bGBthdayu Tilef,0.5714285714285714
36,HNArI bGBthdayu Tilef,0.5714285714285714
37,HNArI bGBthdayu Tilef,0.5714285714285714
38,HNVmI bGrtGday, fRlef,0.6190476190476191
39,HNVmI bGrtGday, fRlef,0.6190476190476191
40,HNVmI bGrtGday, fRlef,0.6190476190476191
41,HNVmI bGrtGday, fRlef,0.6190476190476191
42,HNVmI bGrtGday, fRlef,0.6190476190476191
43,HCpwy NbrtGday, fRlef,0.6666666666666666
44,HNVmI bGrtUday, fRlef,0.6190476190476191
45,HNVmI bGrtGday, fRlef,0.6190476190476191
46,HNVmI bGrtGday, fRlef,0.6190476190476191
47,HNVmI bGrtGday, fRlef,0.6190476190476191
48,HNVmI bGrtGday, fRlef,0.6190476190476191
49,HNVmI bGrtGday, fRlef,0.6190476190476191
50,HNVmI bGrthday, fRlef,0.6666666666666666
51,HNVmI bGrthday, fRlef,0.6666666666666666
52,HNVmI bGrthday, fRlef,0.6666666666666666
53,HNwrI bGrthday, fRlef,0.6666666666666666
54,HNwrI bGrthday, fRlef,0.6666666666666666
55,HNVmI bGrthday, fRlef,0.6666666666666666
56,HNVmI bGrthday, fRlef,0.6666666666666666
57,Haim! biBthday, fGlef,0.7142857142857143
58,Haim! biBthday, fGlef,0.7142857142857143
59,HNAwy bGrtUday, filef,0.7142857142857143
60,HNAwy bGrtUday, filef,0.7142857142857143
61,HNAwy bGrtUday, filef,0.7142857142857143
62,HNAwy biBthdayu filef,0.7142857142857143
63,HaiPy bGrtGday, fRlef,0.7142857142857143
64,HNAwy bGrtUday, filef,0.7142857142857143
65,HNAwy bGrtUday, filef,0.7142857142857143
66,HaAIy biBthday, fGlbb,0.7142857142857143
67,Hawwy bisthday, fGlef,0.7619047619047619
68,HNAwy bGrthday, filef,0.7619047619047619
69,HNVmI bGrthday, filef,0.7142857142857143
70,HNpmI bGrtUday, filef,0.7142857142857143
71,HNpVy bGrthday, fRlef,0.7619047619047619
72,HNpmI bPrthday, filef,0.7619047619047619
73,HaiPySb,rthday, filef,0.7619047619047619
74,HaiPySb,rthday, filef,0.7619047619047619
75,HaiPySb,rthday, filef,0.7619047619047619
76,HNpmI bPrthday, filef,0.7619047619047619
77,HaiPySb,rthday, filef,0.7619047619047619
78,HaiPySb,rthday, filef,0.7619047619047619
79,HaiPy bGrthday, filef,0.8095238095238095
80,HNWmy birthday, filef,0.8095238095238095
81,HNpj! bisthday, filef,0.7619047619047619
82,Hawwy birthday, filbb,0.8095238095238095
83,HaiPy bGrthday, filef,0.8095238095238095
84,HaiPy bisthday, fRlef,0.7619047619047619
85,HaiPy bisthdayu filef,0.7619047619047619
86,HaiPySb,rthday, filef,0.7619047619047619
87,HNpmy byrthday, filef,0.8095238095238095
88,Hawwy bGrthday, filef,0.8095238095238095
89,HaiPy birthday, felCc,0.7619047619047619
90,HNVgy bGrthday, filee,0.7619047619047619
91,HNAT! birthday, filef,0.7619047619047619
92,HaiPy birthday, felCc,0.7619047619047619
93,HapmI bPrthday, filef,0.8095238095238095
94,HapmI bPrthday, filef,0.8095238095238095
95,Habmy bPrthday, filef,0.8095238095238095
96,HaiPy birtUday, filef,0.8095238095238095
97,HaAMy birthday, filef,0.8571428571428571
98,HaiPy birthday, filef,0.8571428571428571
99,HaiPy birthday, filef,0.8571428571428571
100,HaiPy birthday, filef,0.8571428571428571
